congress,chamber,rollnumber,icpsr,cast_code,prob
117,Senate,2,20932.0,6,100.0
117,Senate,2,20953.0,1,16.2
117,Senate,2,21133.0,6,93.4
117,Senate,2,21166.0,6,82.9
117,Senate,2,21173.0,6,83.9
117,Senate,2,21300.0,6,99.8
117,Senate,2,21301.0,6,83.1
117,Senate,2,21325.0,6,99.9
117,Senate,2,21338.0,6,86.6
117,Senate,2,21350.0,6,87.3
117,Senate,2,21734.0,1,16.7
117,Senate,2,21743.0,6,98.6
117,Senate,2,29142.0,6,100.0
117,Senate,2,29147.0,6,100.0
117,Senate,2,29345.0,6,85.2
117,Senate,2,29373.0,6,100.0
117,Senate,2,29386.0,6,97.1
117,Senate,2,29389.0,6,100.0
117,Senate,2,29534.0,6,89.1
117,Senate,2,29548.0,6,94.1
117,Senate,2,29566.0,6,97.6
117,Senate,2,29722.0,6,90.5
117,Senate,2,29732.0,6,100.0
117,Senate,2,29735.0,6,91.9
117,Senate,2,29754.0,6,89.8
117,Senate,2,29935.0,6,88.3
117,Senate,2,29940.0,6,100.0
117,Senate,2,39310.0,6,100.0
117,Senate,2,40300.0,6,99.6
117,Senate,2,40305.0,6,92.8
117,Senate,2,40700.0,6,100.0
117,Senate,2,40702.0,6,99.7
117,Senate,2,40703.0,6,99.7
117,Senate,2,40704.0,6,100.0
117,Senate,2,40707.0,6,84.9
117,Senate,2,40902.0,6,80.3
117,Senate,2,40906.0,6,100.0
117,Senate,2,40908.0,6,100.0
117,Senate,2,40909.0,6,100.0
117,Senate,2,40910.0,6,100.0
117,Senate,2,40915.0,6,96.6
117,Senate,2,40916.0,6,100.0
117,Senate,2,41101.0,6,100.0
117,Senate,2,41102.0,6,87.0
117,Senate,2,41104.0,6,72.4
117,Senate,2,41107.0,6,85.9
117,Senate,2,41110.0,6,72.4
117,Senate,2,41111.0,6,85.4
117,Senate,2,41112.0,6,100.0
117,Senate,2,41300.0,6,100.0
117,Senate,2,41301.0,6,100.0
117,Senate,2,41302.0,6,86.4
117,Senate,2,41304.0,1,24.3
117,Senate,2,41305.0,6,100.0
117,Senate,2,41308.0,6,100.0
117,Senate,2,41500.0,6,89.7
117,Senate,2,41502.0,6,89.1
117,Senate,2,41503.0,6,84.5
117,Senate,2,41504.0,6,95.7
117,Senate,2,41505.0,6,94.8
117,Senate,2,41700.0,6,98.5
117,Senate,2,41701.0,6,100.0
117,Senate,2,41702.0,6,99.9
117,Senate,2,41703.0,6,89.4
117,Senate,2,41706.0,6,100.0
117,Senate,2,41707.0,1,13.9
117,Senate,2,41900.0,6,65.0
117,Senate,2,41901.0,1,21.6
117,Senate,2,41902.0,6,92.9
117,Senate,2,41903.0,1,21.0
117,Senate,2,41904.0,6,90.4
117,Senate,2,41905.0,6,99.2
117,Senate,2,42100.0,6,82.3
117,Senate,2,42101.0,6,100.0
117,Senate,2,42102.0,1,30.7
117,Senate,2,49300.0,6,100.0
117,Senate,2,49308.0,6,100.0
117,Senate,2,49703.0,6,99.9
117,Senate,2,94659.0,6,79.7
117,Senate,2,99912.0,1,8.0
117,Senate,3,14226.0,1,99.8
117,Senate,3,14307.0,1,100.0
117,Senate,3,14435.0,1,100.0
117,Senate,3,14858.0,1,100.0
117,Senate,3,14871.0,1,100.0
117,Senate,3,14921.0,1,99.2
117,Senate,3,15015.0,1,100.0
117,Senate,3,15021.0,1,100.0
117,Senate,3,15408.0,1,100.0
117,Senate,3,15424.0,1,82.5
117,Senate,3,20101.0,1,97.4
117,Senate,3,20146.0,1,100.0
117,Senate,3,20330.0,1,100.0
117,Senate,3,20351.0,6,48.7
117,Senate,3,20707.0,1,100.0
117,Senate,3,20713.0,1,100.0
117,Senate,3,20735.0,1,100.0
117,Senate,3,20919.0,1,96.9
117,Senate,3,20923.0,1,100.0
117,Senate,3,20930.0,1,100.0
117,Senate,3,20932.0,1,100.0
117,Senate,3,20953.0,1,50.3
117,Senate,3,21133.0,1,98.0
117,Senate,3,21166.0,1,61.3
117,Senate,3,21173.0,9,59.1
117,Senate,3,21300.0,1,100.0
117,Senate,3,21301.0,1,64.0
117,Senate,3,21325.0,1,100.0
117,Senate,3,21338.0,1,74.9
117,Senate,3,21350.0,1,98.4
117,Senate,3,21734.0,6,33.9
117,Senate,3,21743.0,1,100.0
117,Senate,3,29142.0,1,100.0
117,Senate,3,29147.0,1,100.0
117,Senate,3,29345.0,9,88.4
117,Senate,3,29373.0,1,100.0
117,Senate,3,29386.0,1,99.7
117,Senate,3,29389.0,9,100.0
117,Senate,3,29534.0,1,99.2
117,Senate,3,29548.0,1,98.5
117,Senate,3,29566.0,1,99.8
117,Senate,3,29722.0,1,98.4
117,Senate,3,29732.0,1,100.0
117,Senate,3,29735.0,1,99.1
117,Senate,3,29754.0,1,97.7
117,Senate,3,29935.0,9,74.4
117,Senate,3,29940.0,1,100.0
117,Senate,3,39310.0,1,100.0
117,Senate,3,40300.0,1,100.0
117,Senate,3,40305.0,1,96.6
117,Senate,3,40700.0,1,100.0
117,Senate,3,40702.0,1,100.0
117,Senate,3,40703.0,1,100.0
117,Senate,3,40704.0,9,100.0
117,Senate,3,40707.0,1,81.4
117,Senate,3,40902.0,6,29.4
117,Senate,3,40906.0,1,100.0
117,Senate,3,40908.0,1,100.0
117,Senate,3,40909.0,1,100.0
117,Senate,3,40910.0,1,100.0
117,Senate,3,40915.0,1,100.0
117,Senate,3,40916.0,1,100.0
117,Senate,3,41101.0,1,100.0
117,Senate,3,41102.0,1,71.9
117,Senate,3,41104.0,6,91.1
117,Senate,3,41107.0,1,98.4
117,Senate,3,41110.0,6,91.1
117,Senate,3,41111.0,1,63.0
117,Senate,3,41112.0,1,100.0
117,Senate,3,41300.0,1,100.0
117,Senate,3,41301.0,1,99.9
117,Senate,3,41302.0,1,94.0
117,Senate,3,41304.0,6,86.7
117,Senate,3,41305.0,1,100.0
117,Senate,3,41308.0,1,100.0
117,Senate,3,41500.0,1,94.2
117,Senate,3,41502.0,6,12.3
117,Senate,3,41503.0,1,55.2
117,Senate,3,41504.0,9,99.4
117,Senate,3,41505.0,1,99.8
117,Senate,3,41700.0,1,100.0
117,Senate,3,41702.0,1,100.0
117,Senate,3,41703.0,1,85.9
117,Senate,3,41706.0,1,100.0
117,Senate,3,41707.0,1,95.2
117,Senate,3,41900.0,6,99.1
117,Senate,3,41901.0,6,77.0
117,Senate,3,41902.0,1,99.9
117,Senate,3,41903.0,1,34.6
117,Senate,3,41905.0,1,100.0
117,Senate,3,42100.0,6,55.7
117,Senate,3,42101.0,1,100.0
117,Senate,3,42102.0,1,3.5
117,Senate,3,42103.0,1,100.0
117,Senate,3,42104.0,1,100.0
117,Senate,3,42105.0,1,100.0
117,Senate,3,49300.0,1,100.0
117,Senate,3,49308.0,1,100.0
117,Senate,3,49703.0,1,100.0
117,Senate,3,94659.0,1,92.4
117,Senate,3,99913.0,1,100.0
117,Senate,4,14226.0,1,82.4
117,Senate,4,14307.0,1,70.4
117,Senate,4,14435.0,6,61.3
117,Senate,4,14858.0,1,58.8
117,Senate,4,14871.0,6,41.2
117,Senate,4,14921.0,1,81.8
117,Senate,4,15015.0,1,78.4
117,Senate,4,15021.0,1,64.0
117,Senate,4,15408.0,1,69.6
117,Senate,4,15424.0,1,76.7
117,Senate,4,20101.0,1,84.7
117,Senate,4,20146.0,1,86.9
117,Senate,4,20330.0,6,36.3
117,Senate,4,20351.0,6,25.3
117,Senate,4,20707.0,1,74.0
117,Senate,4,20713.0,1,54.9
117,Senate,4,20735.0,6,53.4
117,Senate,4,20919.0,1,78.5
117,Senate,4,20923.0,1,76.4
117,Senate,4,20930.0,1,76.4
117,Senate,4,20932.0,1,74.9
117,Senate,4,20953.0,6,32.7
117,Senate,4,21133.0,6,20.5
117,Senate,4,21166.0,1,75.6
117,Senate,4,21173.0,1,73.1
117,Senate,4,21300.0,1,88.3
117,Senate,4,21301.0,6,23.9
117,Senate,4,21325.0,6,19.9
117,Senate,4,21338.0,1,74.6
117,Senate,4,21350.0,1,86.0
117,Senate,4,21734.0,6,23.5
117,Senate,4,21743.0,6,11.0
117,Senate,4,29142.0,1,67.6
117,Senate,4,29147.0,1,37.8
117,Senate,4,29345.0,1,81.4
117,Senate,4,29373.0,1,69.9
117,Senate,4,29386.0,1,79.4
117,Senate,4,29389.0,1,64.5
117,Senate,4,29534.0,1,86.6
117,Senate,4,29548.0,9,79.6
117,Senate,4,29566.0,1,78.4
117,Senate,4,29722.0,9,83.8
117,Senate,4,29732.0,1,75.8
117,Senate,4,29735.0,1,84.0
117,Senate,4,29754.0,1,83.4
117,Senate,4,29935.0,6,30.9
117,Senate,4,29940.0,6,44.6
117,Senate,4,39310.0,1,63.8
117,Senate,4,40300.0,1,80.8
117,Senate,4,40305.0,1,78.2
117,Senate,4,40700.0,1,67.6
117,Senate,4,40702.0,6,12.1
117,Senate,4,40703.0,1,83.9
117,Senate,4,40704.0,1,72.2
117,Senate,4,40707.0,6,20.8
117,Senate,4,40902.0,1,80.3
117,Senate,4,40906.0,1,78.4
117,Senate,4,40908.0,6,61.7
117,Senate,4,40909.0,1,82.5
117,Senate,4,40910.0,1,77.9
117,Senate,4,40915.0,1,93.8
117,Senate,4,40916.0,1,76.3
117,Senate,4,41101.0,6,39.1
117,Senate,4,41102.0,6,28.0
117,Senate,4,41104.0,1,60.4
117,Senate,4,41107.0,1,86.9
117,Senate,4,41110.0,6,39.6
117,Senate,4,41111.0,1,71.5
117,Senate,4,41112.0,1,62.6
117,Senate,4,41300.0,1,79.9
117,Senate,4,41301.0,6,83.7
117,Senate,4,41302.0,1,83.0
117,Senate,4,41304.0,1,65.0
117,Senate,4,41305.0,1,80.3
117,Senate,4,41308.0,6,62.9
117,Senate,4,41500.0,1,80.1
117,Senate,4,41502.0,1,76.6
117,Senate,4,41503.0,6,31.0
117,Senate,4,41504.0,9,80.2
117,Senate,4,41505.0,1,84.5
117,Senate,4,41700.0,6,14.2
117,Senate,4,41702.0,1,83.5
117,Senate,4,41703.0,1,74.9
117,Senate,4,41706.0,1,68.9
117,Senate,4,41707.0,9,83.9
117,Senate,4,41900.0,1,70.0
117,Senate,4,41901.0,6,34.1
117,Senate,4,41902.0,1,88.7
117,Senate,4,41903.0,6,27.0
117,Senate,4,41905.0,1,90.1
117,Senate,4,42100.0,1,70.1
117,Senate,4,42101.0,1,80.4
117,Senate,4,42102.0,1,59.8
117,Senate,4,42103.0,1,84.1
117,Senate,4,42104.0,1,59.6
117,Senate,4,42105.0,1,83.3
117,Senate,4,49300.0,1,75.0
117,Senate,4,49308.0,6,36.3
117,Senate,4,49703.0,6,23.4
117,Senate,4,94659.0,1,86.0
117,Senate,4,99913.0,1,86.7
117,Senate,5,14226.0,1,
117,Senate,5,14307.0,1,
117,Senate,5,14435.0,1,
117,Senate,5,14858.0,1,
117,Senate,5,14871.0,1,
117,Senate,5,14921.0,1,
117,Senate,5,15015.0,1,
117,Senate,5,15021.0,1,
117,Senate,5,15408.0,1,
117,Senate,5,15424.0,1,
117,Senate,5,20101.0,1,
117,Senate,5,20146.0,9,
117,Senate,5,20330.0,1,
117,Senate,5,20351.0,1,
117,Senate,5,20707.0,1,
117,Senate,5,20713.0,1,
117,Senate,5,20735.0,1,
117,Senate,5,20919.0,1,
117,Senate,5,20923.0,1,
117,Senate,5,20930.0,1,
117,Senate,5,20932.0,1,
117,Senate,5,20953.0,1,
117,Senate,5,21133.0,1,
117,Senate,5,21166.0,1,
117,Senate,5,21173.0,1,
117,Senate,5,21300.0,1,
117,Senate,5,21301.0,1,
117,Senate,5,21325.0,1,
117,Senate,5,21338.0,1,
117,Senate,5,21350.0,1,
117,Senate,5,21734.0,1,
117,Senate,5,21743.0,1,
117,Senate,5,29142.0,1,
117,Senate,5,29147.0,1,
117,Senate,5,29345.0,1,
117,Senate,5,29373.0,1,
117,Senate,5,29386.0,1,
117,Senate,5,29389.0,1,
117,Senate,5,29534.0,1,
117,Senate,5,29548.0,9,
117,Senate,5,29566.0,1,
117,Senate,5,29722.0,9,
117,Senate,5,29732.0,1,
117,Senate,5,29735.0,1,
117,Senate,5,29754.0,1,
117,Senate,5,29935.0,1,
117,Senate,5,29940.0,1,
117,Senate,5,39310.0,1,
117,Senate,5,40300.0,1,
117,Senate,5,40305.0,1,
117,Senate,5,40700.0,1,
117,Senate,5,40702.0,1,
117,Senate,5,40703.0,1,
117,Senate,5,40704.0,1,
117,Senate,5,40707.0,1,
117,Senate,5,40902.0,1,
117,Senate,5,40906.0,1,
117,Senate,5,40908.0,1,
117,Senate,5,40909.0,1,
117,Senate,5,40910.0,1,
